,#spam with term,#legit with term,IG
yeah,2,3,0.0002969738074334316
efficiently,2,3,0.0002969738074334316
mathematically,2,3,0.0002969738074334316
table,14,98,0.00029324634495697666
memory,5,43,0.00029147845538846084
holder,3,6,0.0002885021122684961
regulation,3,6,0.0002885021122684961
comic,3,6,0.0002885021122684961
smoke,3,6,0.0002885021122684961
legislation,3,6,0.0002885021122684961
catalog,3,6,0.0002885021122684961
netcom,3,6,0.0002885021122684961
disappoint,3,6,0.0002885021122684961
eighty,3,6,0.0002885021122684961
wear,3,6,0.0002885021122684961
mount,3,6,0.0002885021122684961
gear,3,6,0.0002885021122684961
lender,3,6,0.0002885021122684961
dawn,3,6,0.0002885021122684961
gett,3,6,0.0002885021122684961
gross,3,6,0.0002885021122684961
found,8,24,0.00028347278533502607
agent,6,49,0.0002805800960621885
mix,11,36,0.0002800505932245012
beside,4,36,0.0002785749874663068
industrial,4,36,0.0002785749874663068
citation,4,36,0.0002785749874663068
convention,4,36,0.0002785749874663068
bite,7,55,0.00027380937950804984
permission,5,13,0.0002723840792528409
attractive,5,13,0.0002723840792528409
residence,2,22,0.0002716516438548422
exclusively,2,22,0.0002716516438548422
cook,2,22,0.0002716516438548422
reduction,2,22,0.0002716516438548422
cat,2,22,0.0002716516438548422
denmark,2,22,0.0002716516438548422
apr,2,22,0.0002716516438548422
predict,2,22,0.0002716516438548422
remind,2,22,0.0002716516438548422
reasonably,2,22,0.0002716516438548422
senior,3,29,0.00027027123997808156
shortly,3,29,0.00027027123997808156
union,3,29,0.00027027123997808156
conversation,10,73,0.0002673100246494142
hill,5,42,0.0002639309170105464
hbe,5,42,0.0002639309170105464
frank,14,49,0.00026173126188056006
though,22,142,0.00026003421413278716
level,55,234,0.0002576639432236849
simplify,1,14,0.00025615002959444855
mystery,1,14,0.00025615002959444855
quarterly,1,14,0.00025615002959444855
dk,1,14,0.00025615002959444855
doctorate,1,14,0.00025615002959444855
kay,1,14,0.00025615002959444855
bracket,1,14,0.00025615002959444855
arthur,1,14,0.00025615002959444855
alberta,1,14,0.00025615002959444855
events,1,14,0.00025615002959444855
damage,1,14,0.00025615002959444855
fran,1,14,0.00025615002959444855
ernst,1,14,0.00025615002959444855
adapt,1,14,0.00025615002959444855
copenhagen,1,14,0.00025615002959444855
inner,1,14,0.00025615002959444855
newcastle,1,14,0.00025615002959444855
costa,1,14,0.00025615002959444855
substitute,1,14,0.00025615002959444855
bernadette,1,14,0.00025615002959444855
tower,1,14,0.00025615002959444855
systems,1,14,0.00025615002959444855
lloyd,1,14,0.00025615002959444855
thorough,1,14,0.00025615002959444855
crash,6,17,0.00025578542328019704
curious,6,17,0.00025578542328019704
technical,18,119,0.00025507459415002876
town,12,41,0.0002518860335387618
hope,29,115,0.0002518038717579385
strategy,12,84,0.00024986602150933734
reservation,4,35,0.00024937568430039025
circle,7,21,0.00024760619514230253
whose,24,93,0.00024607621989691797
fix,8,25,0.0002441729234186063
positive,8,25,0.0002441729234186063
balance,8,25,0.0002441729234186063
basis,24,152,0.00024177833943572757
collection,21,80,0.00024132227800038875
strict,4,10,0.00024063028144771792
mature,4,10,0.00024063028144771792
attn,4,10,0.00024063028144771792
informational,4,10,0.00024063028144771792
creat,4,10,0.00024063028144771792
overwhelm,4,10,0.00024063028144771792
accessible,18,67,0.00023924906060757145
posting,3,28,0.00023856441777592163
jim,3,28,0.00023856441777592163
negotiate,3,28,0.00023856441777592163
source,30,185,0.0002379357213346256
norm,2,21,0.00023572707323749054
mood,2,21,0.00023572707323749054
restaurant,2,21,0.00023572707323749054
combine,20,76,0.0002332939630196873
fall,12,83,0.00023098888220479674
compile,13,46,0.00022910323431835078
admirer,1,1,0.00022732084449622603
chilus,1,1,0.00022732084449622603
ssl,1,1,0.00022732084449622603
dazzle,1,1,0.00022732084449622603
psychotherapy,1,1,0.00022732084449622603
oshaughnessy,1,1,0.00022732084449622603
heel,1,1,0.00022732084449622603
resubmit,1,1,0.00022732084449622603
loyalty,1,1,0.00022732084449622603
cpu,1,1,0.00022732084449622603
naple,1,1,0.00022732084449622603
pepsus,1,1,0.00022732084449622603
mole,1,1,0.00022732084449622603
bio,1,1,0.00022732084449622603
readership,1,1,0.00022732084449622603
basketball,1,1,0.00022732084449622603
afr,1,1,0.00022732084449622603
omullan,1,1,0.00022732084449622603
svga,1,1,0.00022732084449622603
foreseeable,1,1,0.00022732084449622603
masterson,1,1,0.00022732084449622603
cie,1,1,0.00022732084449622603
reser,1,1,0.00022732084449622603
crater,1,1,0.00022732084449622603
gum,1,1,0.00022732084449622603
odriscoll,1,1,0.00022732084449622603
salina,1,1,0.00022732084449622603
vocational,1,1,0.00022732084449622603
obtainable,1,1,0.00022732084449622603
panama,1,1,0.00022732084449622603
pixel,1,1,0.00022732084449622603
heal,1,1,0.00022732084449622603
charitable,1,1,0.00022732084449622603
stear,1,1,0.00022732084449622603
rohnert,1,1,0.00022732084449622603
gainesville,1,1,0.00022732084449622603
outdate,1,1,0.00022732084449622603
panamanian,1,1,0.00022732084449622603
acw,1,1,0.00022732084449622603
gw,1,1,0.00022732084449622603
aint,1,1,0.00022732084449622603
prisoner,1,1,0.00022732084449622603
fake,1,1,0.00022732084449622603
flood,1,1,0.00022732084449622603
hilliard,1,1,0.00022732084449622603
coma,1,1,0.00022732084449622603
restraint,1,1,0.00022732084449622603
woodland,1,1,0.00022732084449622603
boca,1,1,0.00022732084449622603
hardest,1,1,0.00022732084449622603
richardson,1,1,0.00022732084449622603
amino,1,1,0.00022732084449622603
worthiness,1,1,0.00022732084449622603
ocain,1,1,0.00022732084449622603
tit,1,1,0.00022732084449622603
fever,1,1,0.00022732084449622603
lure,1,1,0.00022732084449622603
recommended,1,1,0.00022732084449622603
tracer,1,1,0.00022732084449622603
courseware,1,1,0.00022732084449622603
hotels,1,1,0.00022732084449622603
regain,1,1,0.00022732084449622603
oboyle,1,1,0.00022732084449622603
kwik,1,1,0.00022732084449622603
scenery,1,1,0.00022732084449622603
ev,1,1,0.00022732084449622603
enthusiasm,1,1,0.00022732084449622603
deed,1,1,0.00022732084449622603
pq,1,1,0.00022732084449622603
goss,1,1,0.00022732084449622603
worm,1,1,0.00022732084449622603
passenger,1,1,0.00022732084449622603
wilhem,1,1,0.00022732084449622603
epson,1,1,0.00022732084449622603
verdugo,1,1,0.00022732084449622603
rousseau,1,1,0.00022732084449622603
fixture,1,1,0.00022732084449622603
beehive,1,1,0.00022732084449622603
dawson,1,1,0.00022732084449622603
refreshment,1,1,0.00022732084449622603
androutsopoulo,1,1,0.00022732084449622603
pw,1,1,0.00022732084449622603
ving,1,1,0.00022732084449622603
furniture,1,1,0.00022732084449622603
skinner,1,1,0.00022732084449622603
deseret,1,1,0.00022732084449622603
journalism,1,1,0.00022732084449622603
glam,1,1,0.00022732084449622603
liquida,1,1,0.00022732084449622603
abou,1,1,0.00022732084449622603
passively,1,1,0.00022732084449622603
instrumentation,1,1,0.00022732084449622603
babe,1,1,0.00022732084449622603
maa,1,1,0.00022732084449622603
football,1,1,0.00022732084449622603
comercial,1,1,0.00022732084449622603
stubborn,1,1,0.00022732084449622603
coalition,1,1,0.00022732084449622603
edo,1,1,0.00022732084449622603
contaminate,1,1,0.00022732084449622603
hin,1,1,0.00022732084449622603
ohagan,1,1,0.00022732084449622603
generosity,1,1,0.00022732084449622603
nv,1,1,0.00022732084449622603
entice,1,1,0.00022732084449622603
postings,1,1,0.00022732084449622603
modernization,1,1,0.00022732084449622603
obarr,1,1,0.00022732084449622603
prosecute,1,1,0.00022732084449622603
messy,1,1,0.00022732084449622603
bean,1,1,0.00022732084449622603
setter,1,1,0.00022732084449622603
beleive,1,1,0.00022732084449622603
kal,1,1,0.00022732084449622603
burke,1,1,0.00022732084449622603
odowd,1,1,0.00022732084449622603
descriptions,1,1,0.00022732084449622603
aboard,1,1,0.00022732084449622603
usefull,1,1,0.00022732084449622603
loophole,1,1,0.00022732084449622603
listed,1,1,0.00022732084449622603
penalty,1,1,0.00022732084449622603
chuckle,1,1,0.00022732084449622603
vy,1,1,0.00022732084449622603
williams,1,1,0.00022732084449622603
invalid,1,1,0.00022732084449622603
messenger,1,1,0.00022732084449622603
pork,1,1,0.00022732084449622603
maternal,1,1,0.00022732084449622603
fortunate,1,1,0.00022732084449622603
wac,1,1,0.00022732084449622603
gigabyte,1,1,0.00022732084449622603
laughter,1,1,0.00022732084449622603
shenandoah,1,1,0.00022732084449622603
fuck,1,1,0.00022732084449622603
dishonest,1,1,0.00022732084449622603
plese,1,1,0.00022732084449622603
effects,1,1,0.00022732084449622603
eventual,1,1,0.00022732084449622603
richey,1,1,0.00022732084449622603
username,1,1,0.00022732084449622603
oneill,1,1,0.00022732084449622603
aifh,1,1,0.00022732084449622603
omeara,1,1,0.00022732084449622603
drus,1,1,0.00022732084449622603
bankcard,1,1,0.00022732084449622603
rumor,1,1,0.00022732084449622603
energize,1,1,0.00022732084449622603
pheromone,1,1,0.00022732084449622603
cartridge,1,1,0.00022732084449622603
beatle,1,1,0.00022732084449622603
oconnor,1,1,0.00022732084449622603
rear,1,1,0.00022732084449622603
traveller,1,1,0.00022732084449622603
ideas,1,1,0.00022732084449622603
infor,1,1,0.00022732084449622603
lysator,1,1,0.00022732084449622603
comer,1,1,0.00022732084449622603
detailed,1,1,0.00022732084449622603
springfield,1,1,0.00022732084449622603
hg,1,1,0.00022732084449622603
litigation,1,1,0.00022732084449622603
worksheet,1,1,0.00022732084449622603
anus,1,1,0.00022732084449622603
realtime,1,1,0.00022732084449622603
meadow,1,1,0.00022732084449622603
virus,1,1,0.00022732084449622603
waa,1,1,0.00022732084449622603
worked,1,1,0.00022732084449622603
directorio,1,1,0.00022732084449622603
imaginable,1,1,0.00022732084449622603
bald,1,1,0.00022732084449622603
peaceful,1,1,0.00022732084449622603
ranking,1,1,0.00022732084449622603
pepper,1,1,0.00022732084449622603
crossroad,1,1,0.00022732084449622603
incidence,1,1,0.00022732084449622603
wilt,1,1,0.00022732084449622603
flock,1,1,0.00022732084449622603
outward,1,1,0.00022732084449622603
slogan,1,1,0.00022732084449622603
chp,1,1,0.00022732084449622603
victimize,1,1,0.00022732084449622603
pervert,1,1,0.00022732084449622603
untold,1,1,0.00022732084449622603
psa,1,1,0.00022732084449622603
svp,1,1,0.00022732084449622603
oleary,1,1,0.00022732084449622603
types,1,1,0.00022732084449622603
just,1,1,0.00022732084449622603
includes,1,1,0.00022732084449622603
milk,1,1,0.00022732084449622603
premature,1,1,0.00022732084449622603
poise,1,1,0.00022732084449622603
supplemental,1,1,0.00022732084449622603
governmental,1,1,0.00022732084449622603
hyperreal,1,1,0.00022732084449622603
thankyou,1,1,0.00022732084449622603
seaman,1,1,0.00022732084449622603
perfection,1,1,0.00022732084449622603
figures,1,1,0.00022732084449622603
beware,1,1,0.00022732084449622603
massage,1,1,0.00022732084449622603
bake,1,1,0.00022732084449622603
slap,1,1,0.00022732084449622603
wml,1,1,0.00022732084449622603
positioning,1,1,0.00022732084449622603
lcr,1,1,0.00022732084449622603
som,1,1,0.00022732084449622603
yogyakarta,1,1,0.00022732084449622603
rn,1,1,0.00022732084449622603
vr,1,1,0.00022732084449622603
updated,1,1,0.00022732084449622603
transplant,1,1,0.00022732084449622603
drake,1,1,0.00022732084449622603
expedite,1,1,0.00022732084449622603
groove,1,1,0.00022732084449622603
darker,1,1,0.00022732084449622603
fanny,1,1,0.00022732084449622603
disclosure,1,1,0.00022732084449622603
dinosaur,1,1,0.00022732084449622603
luv,1,1,0.00022732084449622603
unreliable,1,1,0.00022732084449622603
miscellaneous,1,1,0.00022732084449622603
quincy,1,1,0.00022732084449622603
ogrady,1,1,0.00022732084449622603
pearce,1,1,0.00022732084449622603
greatful,1,1,0.00022732084449622603
synergy,1,1,0.00022732084449622603
clemente,1,1,0.00022732084449622603
wholeness,1,1,0.00022732084449622603
barrel,1,1,0.00022732084449622603
wallstreet,1,1,0.00022732084449622603
industries,1,1,0.00022732084449622603
leicester,1,1,0.00022732084449622603
dependable,1,1,0.00022732084449622603
tablet,1,1,0.00022732084449622603
peel,1,1,0.00022732084449622603
pott,1,1,0.00022732084449622603
sherlock,1,1,0.00022732084449622603
aida,1,1,0.00022732084449622603
ocontraire,1,1,0.00022732084449622603
bleach,1,1,0.00022732084449622603
sweat,1,1,0.00022732084449622603
andalucium,1,1,0.00022732084449622603
grp,1,1,0.00022732084449622603
nirvana,1,1,0.00022732084449622603
seeing,1,1,0.00022732084449622603
rescind,1,1,0.00022732084449622603
gy,1,1,0.00022732084449622603
freelance,1,1,0.00022732084449622603
needy,1,1,0.00022732084449622603
hick,1,1,0.00022732084449622603
responding,1,1,0.00022732084449622603
ingenious,1,1,0.00022732084449622603
boot,1,1,0.00022732084449622603
&n,1,1,0.00022732084449622603
mississauga,1,1,0.00022732084449622603
geologist,1,1,0.00022732084449622603
teens,1,1,0.00022732084449622603
tiger,1,1,0.00022732084449622603
clinton,1,1,0.00022732084449622603
opera,1,1,0.00022732084449622603
fraud,1,1,0.00022732084449622603
dirt,1,1,0.00022732084449622603
patiently,1,1,0.00022732084449622603
gates,1,1,0.00022732084449622603
unisy,1,1,0.00022732084449622603
troy,1,1,0.00022732084449622603
coventry,1,1,0.00022732084449622603
navigator,1,1,0.00022732084449622603
ranger,1,1,0.00022732084449622603
certified,1,1,0.00022732084449622603
steak,1,1,0.00022732084449622603
opportunities,1,1,0.00022732084449622603
seymour,1,1,0.00022732084449622603
kln,1,1,0.00022732084449622603
profite,1,1,0.00022732084449622603
disaster,1,1,0.00022732084449622603
unparallele,1,1,0.00022732084449622603
iname,1,1,0.00022732084449622603
replies,1,1,0.00022732084449622603
wheat,1,1,0.00022732084449622603
fixed,1,1,0.00022732084449622603
scar,1,1,0.00022732084449622603
oreilly,1,1,0.00022732084449622603
foul,1,1,0.00022732084449622603
miranda,1,1,0.00022732084449622603
dpus,1,1,0.00022732084449622603
qualified,1,1,0.00022732084449622603
unethical,1,1,0.00022732084449622603
muffet,1,1,0.00022732084449622603
pink,1,1,0.00022732084449622603
underestimate,1,1,0.00022732084449622603
worthless,1,1,0.00022732084449622603
inhale,1,1,0.00022732084449622603
genital,1,1,0.00022732084449622603
arlanda,1,1,0.00022732084449622603
trades,1,1,0.00022732084449622603
horror,1,1,0.00022732084449622603
clus,1,1,0.00022732084449622603
okennon,1,1,0.00022732084449622603
woodhouse,1,1,0.00022732084449622603
hadley,1,1,0.00022732084449622603
reintroduce,1,1,0.00022732084449622603
clone,1,1,0.00022732084449622603
raton,1,1,0.00022732084449622603
nobility,1,1,0.00022732084449622603
hypnosis,1,1,0.00022732084449622603
tremendously,1,1,0.00022732084449622603
nope,1,1,0.00022732084449622603
pledge,1,1,0.00022732084449622603
indstate,1,1,0.00022732084449622603
spearhead,1,1,0.00022732084449622603
punishment,1,1,0.00022732084449622603
reservoir,1,1,0.00022732084449622603
penetrate,1,1,0.00022732084449622603
wildly,1,1,0.00022732084449622603
princess,1,1,0.00022732084449622603
cdrom,1,1,0.00022732084449622603
unheard,1,1,0.00022732084449622603
commissioner,1,1,0.00022732084449622603
modle,1,1,0.00022732084449622603
corte,1,1,0.00022732084449622603
usl,1,1,0.00022732084449622603
logica,1,1,0.00022732084449622603
painful,1,1,0.00022732084449622603
oa,1,1,0.00022732084449622603
ohalloran,1,1,0.00022732084449622603
undersign,1,1,0.00022732084449622603
tenant,1,1,0.00022732084449622603
handicapper,1,1,0.00022732084449622603
reread,1,1,0.00022732084449622603
ski,1,1,0.00022732084449622603
dist,1,1,0.00022732084449622603
tein,1,1,0.00022732084449622603
advert,1,1,0.00022732084449622603
withhold,1,1,0.00022732084449622603
dessert,1,1,0.00022732084449622603
duo,1,1,0.00022732084449622603
pamphlet,1,1,0.00022732084449622603
nip,1,1,0.00022732084449622603
smoothly,1,1,0.00022732084449622603
mercy,1,1,0.00022732084449622603
belt,1,1,0.00022732084449622603
trilogy,1,1,0.00022732084449622603
untap,1,1,0.00022732084449622603
temporarily,1,1,0.00022732084449622603
safer,1,1,0.00022732084449622603
skus,1,1,0.00022732084449622603
ent,1,1,0.00022732084449622603
bout,1,1,0.00022732084449622603
occupant,1,1,0.00022732084449622603
unconsciously,1,1,0.00022732084449622603
commute,1,1,0.00022732084449622603
vnet,1,1,0.00022732084449622603
individuals,1,1,0.00022732084449622603
matt,1,1,0.00022732084449622603
navigate,1,1,0.00022732084449622603
hacker,1,1,0.00022732084449622603
disappearing,1,1,0.00022732084449622603
tripod,1,1,0.00022732084449622603
videophone,1,1,0.00022732084449622603
dss,1,1,0.00022732084449622603
formulum,1,1,0.00022732084449622603
ripe,1,1,0.00022732084449622603
sema,1,1,0.00022732084449622603
rakyat,1,1,0.00022732084449622603
bon,1,1,0.00022732084449622603
valentine,1,1,0.00022732084449622603
ugly,1,1,0.00022732084449622603
scout,1,1,0.00022732084449622603
peddle,1,1,0.00022732084449622603
buzz,1,1,0.00022732084449622603
mistress,1,1,0.00022732084449622603
obrien,1,1,0.00022732084449622603
availible,1,1,0.00022732084449622603
direc,1,1,0.00022732084449622603
wales,1,1,0.00022732084449622603
lawsuit,1,1,0.00022732084449622603
orourke,1,1,0.00022732084449622603
bowman,1,1,0.00022732084449622603
gladly,1,1,0.00022732084449622603
newport,1,1,0.00022732084449622603
slender,1,1,0.00022732084449622603
soy,1,1,0.00022732084449622603
pizza,1,1,0.00022732084449622603
cmt,1,1,0.00022732084449622603
portrait,1,1,0.00022732084449622603
oneil,1,1,0.00022732084449622603
hopeful,1,1,0.00022732084449622603
giving,1,1,0.00022732084449622603
effortless,1,1,0.00022732084449622603
adverse,1,1,0.00022732084449622603
clientele,1,1,0.00022732084449622603
tara,1,1,0.00022732084449622603
drops,1,1,0.00022732084449622603
kaya,1,1,0.00022732084449622603
optimism,1,1,0.00022732084449622603
ust,1,1,0.00022732084449622603
maildrop,1,1,0.00022732084449622603
teh,1,1,0.00022732084449622603
aruba,1,1,0.00022732084449622603
mercede,1,1,0.00022732084449622603
searches,1,1,0.00022732084449622603
perhaps,1,1,0.00022732084449622603
tournament,1,1,0.00022732084449622603
accompanying,1,1,0.00022732084449622603
uno,1,1,0.00022732084449622603
iona,1,1,0.00022732084449622603
anyplace,1,1,0.00022732084449622603
basement,1,1,0.00022732084449622603
bookmark,1,1,0.00022732084449622603
olm,1,1,0.00022732084449622603
emma,1,1,0.00022732084449622603
nog,1,1,0.00022732084449622603
adams,1,1,0.00022732084449622603
omaha,1,1,0.00022732084449622603
aggressive,1,1,0.00022732084449622603
rubber,1,1,0.00022732084449622603
cake,1,1,0.00022732084449622603
longer,24,94,0.00022720958092747878
walk,7,53,0.00022682397076145833
face,10,71,0.00022640771043447305
comprehensive,8,59,0.0002252992820624411
maybe,16,59,0.00022442388268961722
arrive,16,59,0.00022442388268961722
another,51,218,0.00022400233585639917
career,5,14,0.00022068175025163894
joke,5,14,0.00022068175025163894
superior,5,14,0.00022068175025163894
provide,82,461,0.0002186759883621714
work,152,706,0.00021817707766347283
receipt,13,88,0.00021632591465070572
younger,1,13,0.00021359961071815148
southwest,1,13,0.00021359961071815148
wordperfect,1,13,0.00021359961071815148
scenario,1,13,0.00021359961071815148
armstrong,1,13,0.00021359961071815148
pitt,1,13,0.00021359961071815148
scus,1,13,0.00021359961071815148
whereby,1,13,0.00021359961071815148
op,1,13,0.00021359961071815148
rick,1,13,0.00021359961071815148
brook,1,13,0.00021359961071815148
sharon,1,13,0.00021359961071815148
thread,1,13,0.00021359961071815148
dietary,1,13,0.00021359961071815148
synthetic,1,13,0.00021359961071815148
modification,1,13,0.00021359961071815148
fare,1,13,0.00021359961071815148
walker,1,13,0.00021359961071815148
pat,1,13,0.00021359961071815148
bham,1,13,0.00021359961071815148
opening,1,13,0.00021359961071815148
fascinate,1,13,0.00021359961071815148
ritual,1,13,0.00021359961071815148
decline,1,13,0.00021359961071815148
accordance,1,13,0.00021359961071815148
ilan,1,13,0.00021359961071815148
logo,1,13,0.00021359961071815148
photocopy,1,13,0.00021359961071815148
goody,3,7,0.00021197631566799435
remote,3,7,0.00021197631566799435
categorize,3,7,0.00021197631566799435
beer,3,7,0.00021197631566799435
allot,3,7,0.00021197631566799435
slave,3,7,0.00021197631566799435
orange,3,7,0.00021197631566799435
stack,3,7,0.00021197631566799435
attain,3,7,0.00021197631566799435
handy,3,7,0.00021197631566799435
tina,3,7,0.00021197631566799435
accomplishment,3,7,0.00021197631566799435
annabel,3,7,0.00021197631566799435
merely,5,40,0.00021189291302803337
est,5,40,0.00021189291302803337
disc,5,40,0.00021189291302803337
approval,6,18,0.0002118644821233473
random,6,18,0.0002118644821233473
sort,22,86,0.00021047845854427205
explain,21,133,0.0002097550651268265
capture,7,22,0.00020863882988564342
budget,7,22,0.00020863882988564342
inclusion,3,27,0.000208216596433497
concentrate,3,27,0.000208216596433497
fifth,3,27,0.000208216596433497
dure,3,27,0.000208216596433497
recommendation,3,27,0.000208216596433497
encode,6,46,0.00020687926644535892
equal,7,52,0.00020463134455733778
internal,13,47,0.00020356544798089127
achievement,2,20,0.0002014253606591465
improvement,2,20,0.0002014253606591465
frederick,2,20,0.0002014253606591465
unlikely,2,20,0.0002014253606591465
strand,2,20,0.0002014253606591465
fee,45,192,0.00019919386430033992
dc,4,33,0.00019451079160548446
pour,4,33,0.00019451079160548446
management,15,56,0.00019448832311691477
org,18,115,0.00019267984929521864
unrealistic,2,4,0.0001920640265258844
costly,2,4,0.0001920640265258844
positively,2,4,0.0001920640265258844
wipe,2,4,0.0001920640265258844
width,2,4,0.0001920640265258844
tantalize,2,4,0.0001920640265258844
regent,2,4,0.0001920640265258844
quantum,2,4,0.0001920640265258844
praise,2,4,0.0001920640265258844
butler,2,4,0.0001920640265258844
lazy,2,4,0.0001920640265258844
won,2,4,0.0001920640265258844
erase,2,4,0.0001920640265258844
imminent,2,4,0.0001920640265258844
hair,2,4,0.0001920640265258844
brit,2,4,0.0001920640265258844
immigration,2,4,0.0001920640265258844
hoe,2,4,0.0001920640265258844
ea,2,4,0.0001920640265258844
milan,2,4,0.0001920640265258844
ethical,2,4,0.0001920640265258844
cg,2,4,0.0001920640265258844
postman,2,4,0.0001920640265258844
politician,2,4,0.0001920640265258844
unprecedent,2,4,0.0001920640265258844
merry,2,4,0.0001920640265258844
loud,2,4,0.0001920640265258844
decrease,2,4,0.0001920640265258844
dump,2,4,0.0001920640265258844
asp,2,4,0.0001920640265258844
safety,2,4,0.0001920640265258844
searchable,2,4,0.0001920640265258844
sd,2,4,0.0001920640265258844
ally,2,4,0.0001920640265258844
recruitment,2,4,0.0001920640265258844
canal,2,4,0.0001920640265258844
chicken,2,4,0.0001920640265258844
sat,2,4,0.0001920640265258844
hook,2,4,0.0001920640265258844
meat,2,4,0.0001920640265258844
forego,2,4,0.0001920640265258844
thrive,2,4,0.0001920640265258844
approximately,10,69,0.00018830199254232793
least,59,259,0.0001864833089367246
police,4,11,0.00018600388513972943
mouth,4,11,0.00018600388513972943
booklet,4,11,0.00018600388513972943
publicly,4,11,0.00018600388513972943
god,4,11,0.00018600388513972943
whenever,4,11,0.00018600388513972943
baby,4,11,0.00018600388513972943
refuse,4,11,0.00018600388513972943
pertinent,4,11,0.00018600388513972943
packet,4,11,0.00018600388513972943
harvard,10,35,0.00018552261381266089
exclude,6,45,0.0001842508874390636
combination,8,57,0.00018400053792305693
purpose,16,103,0.00018179522771871737
newspaper,9,31,0.00018060783455831064
mother,3,26,0.00017932297700840039
consistent,3,26,0.00017932297700840039
vision,3,26,0.00017932297700840039
controversial,3,26,0.00017932297700840039
personally,8,27,0.0001766000732584816
rapidly,5,15,0.00017624698642731973
overlook,5,15,0.00017624698642731973
room,22,136,0.0001748779886788232
san,11,74,0.00017402973492913754
children,7,23,0.0001739210853886619
hardware,6,19,0.00017331718582025424
proceed,6,19,0.00017331718582025424
expansion,1,12,0.00017319634475065904
joshua,1,12,0.00017319634475065904
alabama,1,12,0.00017319634475065904
formulation,1,12,0.00017319634475065904
vocal,1,12,0.00017319634475065904
danger,1,12,0.00017319634475065904
react,1,12,0.00017319634475065904
prepay,1,12,0.00017319634475065904
feeling,1,12,0.00017319634475065904
herself,1,12,0.00017319634475065904
graphical,1,12,0.00017319634475065904
intent,1,12,0.00017319634475065904
actor,1,12,0.00017319634475065904
premise,1,12,0.00017319634475065904
lisbon,1,12,0.00017319634475065904
scottish,1,12,0.00017319634475065904
irvine,1,12,0.00017319634475065904
unus,1,12,0.00017319634475065904
continental,1,12,0.00017319634475065904
single,31,185,0.00017148596386379333
president,4,32,0.0001689780753310055
prince,2,19,0.0001689023424639169
ix,2,19,0.0001689023424639169
render,2,19,0.0001689023424639169
fiction,2,19,0.0001689023424639169
leed,2,19,0.0001689023424639169
apple,2,19,0.0001689023424639169
possess,2,19,0.0001689023424639169
mary,19,75,0.00016754015156189572
material,30,179,0.00016513124205330687
performance,8,56,0.00016462836905151157
image,8,56,0.00016462836905151157
notify,8,56,0.00016462836905151157
register,33,139,0.00016450178423649264
z,7,50,0.00016300070425212532
pacific,6,44,0.0001626576878789865
normally,10,36,0.0001594711705183438
staff,13,49,0.00015783006683994794
demonstrate,14,90,0.00015631971871143957
none,9,32,0.0001533816080807604
seminar,10,67,0.0001531398774685666
lane,3,8,0.00015207474792761078
bunch,3,8,0.00015207474792761078
violence,3,8,0.00015207474792761078
shareware,3,8,0.00015207474792761078
substantially,3,8,0.00015207474792761078
reuse,3,8,0.00015207474792761078
mn,3,8,0.00015207474792761078
camp,3,8,0.00015207474792761078
exception,3,25,0.00015198938744026558
commitment,3,25,0.00015198938744026558
female,8,28,0.00014785334181266485
dozen,8,28,0.00014785334181266485
trace,4,31,0.00014481036765229272
deal,41,178,0.0001446712045137244
certain,21,128,0.00014373027699737806
progress,16,63,0.00014299251019056491
entirely,5,37,0.00014221075436832153
constitute,5,37,0.00014221075436832153
signal,5,37,0.00014221075436832153
santa,6,43,0.00014214304846388304
canadian,6,43,0.00014214304846388304
bulletin,4,12,0.0001407530529081158
privilege,4,12,0.0001407530529081158
guidelines,4,12,0.0001407530529081158
inn,4,12,0.0001407530529081158
route,2,18,0.00013833793212214562
violation,2,18,0.00013833793212214562
ia,2,18,0.00013833793212214562
somewhere,2,18,0.00013833793212214562
charlotte,2,18,0.00013833793212214562
ray,2,18,0.00013833793212214562
empty,2,18,0.00013833793212214562
brazil,2,18,0.00013833793212214562
av,5,16,0.00013825804260669816
ga,5,16,0.00013825804260669816
personnel,5,16,0.00013825804260669816
confirm,13,50,0.00013750534671996828
grant,13,50,0.00013750534671996828
touch,10,37,0.00013577094757288855
sharp,1,11,0.00013529426145786339
summit,1,11,0.00013529426145786339
advisory,1,11,0.00013529426145786339
photograph,1,11,0.00013529426145786339
deeper,1,11,0.00013529426145786339
dd,1,11,0.00013529426145786339
exam,1,11,0.00013529426145786339
tent,1,11,0.00013529426145786339
incomplete,1,11,0.00013529426145786339
shore,1,11,0.00013529426145786339
correctness,1,11,0.00013529426145786339
diagnostic,1,11,0.00013529426145786339
testimony,1,11,0.00013529426145786339
chuck,1,11,0.00013529426145786339
deduction,1,11,0.00013529426145786339
frus,1,11,0.00013529426145786339
raw,1,11,0.00013529426145786339
extensively,1,11,0.00013529426145786339
dominate,1,11,0.00013529426145786339
baltimore,1,11,0.00013529426145786339
carpenter,1,11,0.00013529426145786339
parenthesis,1,11,0.00013529426145786339
narrow,1,11,0.00013529426145786339
ip,1,11,0.00013529426145786339
fifteen,1,11,0.00013529426145786339
emotion,1,11,0.00013529426145786339
zurich,1,11,0.00013529426145786339
interference,1,11,0.00013529426145786339
realm,1,11,0.00013529426145786339
brigham,1,11,0.00013529426145786339
copies,1,11,0.00013529426145786339
operational,1,11,0.00013529426145786339
conscious,1,11,0.00013529426145786339
